SFmax_5721442,TXmin_GK48617,RHmax_GK48617,RFmax_6022062,RFmax_6122064,RFmax_KB48615,RFmax_6021010,RFmax_6120014,RFmax_6121001,RFd50mm_5920012,RHd10p_GK48617,RFd95p_6022001,RHd90p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.503526337,0.773584906,0.428571429,0,0,0.097560976,0.038944495,0,0.056014692,0.285714286,0.714285714,0.2,0.714285714,1,0.142857143,High
0.099941678,0.669811321,0.365546218,0,0,0.129711752,0.137943585,0.000737327,0.005203551,0.428571429,0.857142857,0,0.142857143,1,0.428571429,High
0.059105293,0.660377358,0.239495798,0.024187453,0.077453366,0.73466371,0.002183803,0,0.066115702,0,0.857142857,0,0.142857143,0.714285714,0.428571429,High
0.029431142,0.490566038,0.18907563,0.002834467,0.02027575,0.760532151,0.003639672,0,0,0,0.285714286,0,0.428571429,0.571428571,0.285714286,High
0.024511551,0.688679245,0.054621849,0.024754346,0.069748581,0.099039172,0.004549591,0.014009217,0.001530456,0,0.714285714,0,0.428571429,0.571428571,0.428571429,High
0.024587154,0.726415094,0.260504202,0.002834467,0.00405515,0.023651146,0.009645132,0.001658986,0,0,0.142857143,0,0.142857143,0.142857143,0.571428571,High
0.021968052,0.641509434,0.100840336,0.001889645,0,0.130820399,0,0.022119816,0.003060912,0,0,0,0,0.714285714,0,High
0.019548758,0.641509434,0.06302521,0,0,0.001478197,0,0,0,0,0,0,0.285714286,0.714285714,0.142857143,High
0.018317511,0.641509434,0.084033613,0,0.00162206,0.001478197,0,0.002211982,0.049280686,0,0,0,0,0.142857143,0.428571429,High
0.014904578,0.575471698,0.668067227,0,0,0.005173688,0,0,0.05785124,0,0.142857143,0,0,0.142857143,0.428571429,High
0.014677769,0.632075472,0.239495798,0.002267574,0.014193025,0.002217295,0,0.011981567,0.071931436,0,0.142857143,0,0,0.142857143,0.428571429,High
0.011972265,0.632075472,0.466386555,0.078420257,0.02676399,0,0,0,0.026017753,0,0.285714286,0,0,0,0,High
0.011167633,0.377358491,0.462184874,0.007558579,0.068937551,0,0.005459509,0.027834101,0.059075605,0,0,0,0,0.142857143,0,High
0.012965903,0.028301887,0.369747899,0.003779289,0.01216545,0,0.013648772,0.049953917,0.081114172,0,0.142857143,0,0,0.142857143,0,High
0.010789619,0.113207547,0.705882353,0.11526833,0.196674777,0.003695492,0.002729754,0.008294931,0.003060912,0,0.142857143,0,0,0,0,High
0.011178434,0.226415094,0.470588235,0.077475435,0.112327656,0,0.032939035,0.057880184,0.038261402,0,0,0,0,0,0,High
